date,ticker,year,quarter,total_assets,total_liabilities,stockholders_equity,total_debt,cash_and_equivalents,current_assets,current_liabilities,accounts_receivable,inventory,ppe,revenue,net_income,gross_profit,operating_income,ebit,ebitda,cost_of_revenue,operating_expenses,rnd,sga,operating_cash_flow,free_cash_flow,capex,depreciation_amortization,shares_basic,shares_diluted,book_value_per_share,eps_basic,eps_diluted,roe,roa,debt_to_equity,current_ratio,gross_margin,profit_margin
2022-12-31,KO,2022,4,92763000000.0,66937000000.0,24105000000.0,39149000000.0,10562000000.0,22591000000.0,19724000000.0,3487000000.0,4233000000.0,9841000000.0,10125000000.0,2031000000.0,5612000000.0,2075000000.0,2779000000.0,3086000000.0,4513000000.0,3537000000.0,0.0,3431000000.0,2950000000.0,2271000000.0,-679000000.0,307000000.0,4324513264.0,4344000000.0,5.97200156951582,0.46,0.46,0.402785985647953,0.102473507720147,1.62410288321925,1.1453559115798,0.554271604938272,0.554271604938272
2022-12-31,KO,2022,0,92763000000.0,66937000000.0,24105000000.0,39149000000.0,10562000000.0,22591000000.0,19724000000.0,3487000000.0,4233000000.0,9841000000.0,43004000000.0,9542000000.0,25004000000.0,10909000000.0,12539000000.0,13799000000.0,18000000000.0,14095000000.0,0.0,12880000000.0,11018000000.0,9609000000.0,-1409000000.0,1260000000.0,4324513264.0,4350000000.0,,2.2,2.19,,,,,,
2023-03-31,KO,2023,1,97404000000.0,70536000000.0,25217000000.0,42400000000.0,13170000000.0,26880000000.0,23357000000.0,4599000000.0,4727000000.0,9848000000.0,10980000000.0,3107000000.0,6663000000.0,3367000000.0,4419000000.0,4705000000.0,4317000000.0,3296000000.0,0.0,3185000000.0,160000000.0,-95000000.0,-255000000.0,286000000.0,4326691783.0,4345000000.0,6.20982527703199,0.72,0.72,0.41491821889585,0.105032636433063,1.68140540111829,1.15083272680567,0.606830601092896,0.606830601092896
2023-06-30,KO,2023,2,98456000000.0,70904000000.0,26013000000.0,41625000000.0,14431000000.0,27591000000.0,24115000000.0,3970000000.0,4646000000.0,9706000000.0,11972000000.0,2547000000.0,7060000000.0,2401000000.0,3280000000.0,3561000000.0,4912000000.0,4659000000.0,0.0,3321000000.0,4469000000.0,4147000000.0,-322000000.0,281000000.0,4324578189.0,4341000000.0,6.37102598123472,0.59,0.59,0.428367638068066,0.11031399077393,1.60016145773267,1.14414264980303,0.589709321750752,0.589709321750752
2023-09-29,KO,2023,3,97578000000.0,69745000000.0,26325000000.0,40171000000.0,14215000000.0,27867000000.0,24409000000.0,3495000000.0,4252000000.0,8860000000.0,11953000000.0,3087000000.0,7296000000.0,3270000000.0,3909000000.0,4199000000.0,4657000000.0,4026000000.0,0.0,3667000000.0,4300000000.0,3922000000.0,-378000000.0,290000000.0,4324344812.0,4339000000.0,6.4363507560183,0.71,0.71,0.423844186504033,0.111568846274349,1.52596391263058,1.14166905649555,0.610390696896177,0.610390696896177
2023-12-31,KO,2023,4,97703000000.0,70223000000.0,25941000000.0,42064000000.0,12363000000.0,26732000000.0,23571000000.0,3410000000.0,4424000000.0,9236000000.0,10849000000.0,1973000000.0,6215000000.0,2273000000.0,2882000000.0,3153000000.0,4634000000.0,3942000000.0,0.0,3799000000.0,2670000000.0,1847000000.0,-823000000.0,271000000.0,4323413810.0,4330000000.0,6.35608831531211,0.46,0.46,0.414083636082554,0.109566626868572,1.62152577001658,1.13410546858428,0.572863858420131,0.572863858420131
2023-12-31,KO,2023,0,97703000000.0,70223000000.0,25941000000.0,42064000000.0,12363000000.0,26732000000.0,23571000000.0,3410000000.0,4424000000.0,9236000000.0,45754000000.0,10714000000.0,27234000000.0,11311000000.0,14490000000.0,15618000000.0,18520000000.0,15923000000.0,0.0,13972000000.0,11599000000.0,9821000000.0,-1778000000.0,1128000000.0,4323413810.0,4339000000.0,,2.48,2.47,,,,,,
2024-03-29,KO,2024,1,99392000000.0,71446000000.0,26429000000.0,42550000000.0,15203000000.0,29462000000.0,28356000000.0,4244000000.0,4961000000.0,9306000000.0,11300000000.0,3177000000.0,7065000000.0,2141000000.0,4246000000.0,4508000000.0,4235000000.0,4924000000.0,0.0,3351000000.0,528000000.0,172000000.0,-356000000.0,262000000.0,4312456168.0,4322000000.0,6.48029774942863,0.74,0.74,0.411964701837491,0.10972479771271,1.60997389231526,1.03900409084497,0.625221238938053,0.625221238938053
2024-06-28,KO,2024,2,101202000000.0,73791000000.0,25853000000.0,43817000000.0,17399000000.0,31599000000.0,29263000000.0,4545000000.0,4763000000.0,9508000000.0,12363000000.0,2411000000.0,7551000000.0,2632000000.0,3456000000.0,3725000000.0,4812000000.0,4919000000.0,0.0,3549000000.0,3585000000.0,3170000000.0,-415000000.0,269000000.0,4307955307.0,4319000000.0,6.36287938165464,0.56,0.56,0.407391820025252,0.107589516892959,1.6948516613159,1.07982776885487,0.610774083960204,0.610774083960204
2024-09-27,KO,2024,3,106266000000.0,78112000000.0,26518000000.0,46264000000.0,16377000000.0,30288000000.0,28569000000.0,4233000000.0,4714000000.0,9864000000.0,11854000000.0,2848000000.0,7190000000.0,2510000000.0,3803000000.0,4071000000.0,4664000000.0,4680000000.0,0.0,3636000000.0,-1259000000.0,-1716000000.0,-457000000.0,268000000.0,4309868150.0,4323000000.0,6.53245041846582,0.66,0.66,0.397513867539932,0.102915985890949,1.74462629157553,1.06017011445973,0.606546313480682,0.606546313480682
2024-12-31,KO,2024,4,100549000000.0,74177000000.0,24856000000.0,44522000000.0,12848000000.0,25997000000.0,25249000000.0,3569000000.0,4728000000.0,10303000000.0,11544000000.0,2195000000.0,6931000000.0,2709000000.0,3219000000.0,3495000000.0,4613000000.0,4222000000.0,0.0,4046000000.0,3951000000.0,3155000000.0,-796000000.0,276000000.0,4307797138.0,4317000000.0,6.12192244787178,0.51,0.51,0.410241568264259,0.104376682891149,1.79119729642742,1.02962493564102,0.600398475398475,0.600398475398475
2024-12-31,KO,2024,0,100549000000.0,74177000000.0,24856000000.0,44522000000.0,12848000000.0,25997000000.0,25249000000.0,3569000000.0,4728000000.0,10303000000.0,47061000000.0,10631000000.0,28737000000.0,9992000000.0,14724000000.0,15799000000.0,18324000000.0,18745000000.0,0.0,14582000000.0,6805000000.0,4781000000.0,-2024000000.0,1075000000.0,4307797138.0,4320000000.0,,2.47,2.46,,,,,,
2025-03-28,KO,2025,1,101716000000.0,73962000000.0,26202000000.0,49111000000.0,11996000000.0,26178000000.0,23808000000.0,4091000000.0,5102000000.0,10431000000.0,11129000000.0,3330000000.0,6966000000.0,3659000000.0,4439000000.0,4706000000.0,4163000000.0,3307000000.0,0.0,3234000000.0,-5202000000.0,-5503000000.0,-301000000.0,267000000.0,4301000395.0,4313000000.0,6.45291733343354,0.77,0.77,0.417059045335448,0.105278315390754,1.87432257079612,1.09954637096774,0.625932249078983,0.625932249078983
2025-06-27,KO,2025,2,104333000000.0,74151000000.0,28585000000.0,49446000000.0,12248000000.0,26609000000.0,21944000000.0,4168000000.0,5082000000.0,10784000000.0,12535000000.0,3810000000.0,7821000000.0,4280000000.0,5248000000.0,5527000000.0,4714000000.0,3541000000.0,0.0,3470000000.0,3811000000.0,3374000000.0,-437000000.0,279000000.0,4304266738.0,4315000000.0,7.01211189667679,0.89,0.88,0.459038630005369,0.118034025732445,1.7297883505335,1.21258658403208,0.623932987634623,0.623932987634623
